sourcetype,PROFILE_CODE,Classification,Flow_Type
dbx:CerillionBahamasOracle,BB53,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BA50,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BA51,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BA52,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB60,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BA19,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB19,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB18,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,F20R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX20,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PW20,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P20P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P20R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PW21,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P21P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P21R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX16,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,P22R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P22P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX22,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX23,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P24R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P24P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX24,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX25,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P31R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P31P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX31,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P32R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P32P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX32,Change,WorkOrder_Flow
